fir_id,date_filed,police_station,district,crime_type,area,description,status,section_of_law
FIR-2025-00001,2025-02-08,Lashkar PS,Mysuru,Theft,Devaraja Mohalla,Complainant reported theft of gold ornaments from the bus stand in Devaraja Mohalla. Estimated value Rs. 5000.,Under Investigation,IPC 379
FIR-2025-00002,2025-04-12,Kadri PS,Mangaluru,Theft,Surathkal,Complainant reported theft of a bicycle from a residential building in Surathkal. Estimated value Rs. 25000.,Closed,IPC 379
FIR-2025-00003,2026-01-03,Cubbon Park PS,Bengaluru Urban,Burglary,Malleshwaram,House break-in reported in Malleshwaram during night hours. Jewellery and cash worth Rs. 12000 stolen.,Closed,IPC 457
FIR-2025-00004,2025-07-30,Cubbon Park PS,Bengaluru Urban,Theft,Malleshwaram,Complainant reported theft of a bicycle from a shopping complex in Malleshwaram. Estimated value Rs. 75000.,Closed,IPC 379
FIR-2025-00005,2025-06-28,Cubbon Park PS,Bengaluru Urban,Theft,Jayanagar 4th Block,Complainant reported theft of a mobile phone from a shopping complex in Jayanagar 4th Block. Estimated value Rs. 5000.,Open,IPC 379
FIR-2025-00006,2025-03-07,Whitefield PS,Bengaluru Urban,Assault,MG Road,Physical altercation reported near the market in MG Road. Complainant sustained minor injuries.,Under Investigation,IPC 323
FIR-2025-00007,2026-02-16,Lashkar PS,Mysuru,Theft,Hebbal Industrial Area,Complainant reported theft of a mobile phone from a residential building in Hebbal Industrial Area. Estimated value Rs. 150000.,Open,IPC 379
FIR-2025-00008,2025-11-29,Whitefield PS,Bengaluru Urban,Robbery,Malleshwaram,Armed robbery reported at the railway station in Malleshwaram. Cash and valuables worth Rs. 25000 taken.,Under Investigation,IPC 392
FIR-2025-00009,2026-02-13,Whitefield PS,Bengaluru Urban,Assault,Whitefield,Physical altercation reported near the market in Whitefield. Complainant sustained minor injuries.,Open,IPC 323
FIR-2025-00010,2026-01-17,Indiranagar PS,Bengaluru Urban,Assault,Koramangala,Physical altercation reported near the bus stand in Koramangala. Complainant sustained minor injuries.,Closed,IPC 323
FIR-2025-00011,2025-06-08,VV Puram PS,Mysuru,Assault,Lashkar Mohalla,Physical altercation reported near a shopping complex in Lashkar Mohalla. Complainant sustained minor injuries.,Under Investigation,IPC 323
